Datum,Turnier,Bedenkzeit,Turnierlink
04.11.,177. Lichess-Liga 5A,3+0,https://lichess.org/tournament/EGZWd0io
31.10.,176. Lichess-Liga 5A,5+0,https://lichess.org/tournament/g8lQQgUO
28.10.,175. Lichess-Liga 6A,3+2,https://lichess.org/tournament/uGyP7uPO
24.10.,174. Lichess-Liga 6C,3+0,https://lichess.org/tournament/ATP1hMI2
21.10.,173. Lichess-Liga 6A,5+0,https://lichess.org/tournament/vNe8VFSN
17.10.,172. Lichess-Liga 5A,3+2,https://lichess.org/tournament/YnZzZsn8
14.10.,171. Lichess-Liga 5A,3+0,https://lichess.org/tournament/i9kjyARR
10.10.,170. Lichess-Liga 5A,5+0,https://lichess.org/tournament/6wziDPfS
07.10.,169. Lichess-Liga 5A,3+2,https://lichess.org/tournament/SzdsHtP7
03.10.,168. Lichess-Liga 5B,3+0,https://lichess.org/tournament/gjiY13Sr
30.09.,167. Lichess-Liga 6A,5+0,https://lichess.org/tournament/2e3Fewdn
26.09.,166. Lichess-Liga 5A,3+2,https://lichess.org/tournament/dzulCaO3
23.09.,165. Lichess-Liga 5C,3+0,https://lichess.org/tournament/gIQa52q8
19.09.,164. Lichess-Liga 6B,5+0,https://lichess.org/tournament/Ox34gXbW
16.09.,163. Lichess-Liga 6C,3+2,https://lichess.org/tournament/7YQtgRXN
12.09.,162. Lichess-Liga 6A,3+0,https://lichess.org/tournament/ttCDqpqB
09.09.,161. Lichess-Liga 6A,5+0,https://lichess.org/tournament/UWi1vjKq
05.09.,160. Lichess-Liga 6B,3+2,https://lichess.org/tournament/LxdYl9HX
02.09.,159. Lichess-Liga 7C,3+0,https://lichess.org/tournament/BkZuyMju
29.08.,158. Lichess-Liga 7A,5+0,https://lichess.org/tournament/HK59JshV
26.08.,157. Lichess-Liga 6B,3+2,https://lichess.org/tournament/OnL9Hxr6
22.08.,156. Lichess-Liga 6A,3+0,https://lichess.org/tournament/axUdt7xF
19.08.,155. Lichess-Liga 5B,5+0,https://lichess.org/tournament/8Op9adec
15.08.,154. Lichess-Liga 6A,3+2,https://lichess.org/tournament/jxLVNH3e
12.08.,153. Lichess-Liga 6C,3+0,https://lichess.org/tournament/23DkLkOo
